
       filename        moves  n seconds
    puzzle4x4-00.txt     0     4 0.000000
    puzzle4x4-01.txt     1     4 0.000000
    puzzle4x4-11.txt    11     4 0.001000
    puzzle4x4-04.txt     4     4 0.000000
    puzzle4x4-06.txt     6     4 0.000000
    puzzle4x4-08.txt     8     4 0.000000
    puzzle4x4-10.txt    10     4 0.001000
    puzzle4x4-12.txt    12     4 0.001000
    puzzle4x4-09.txt     9     4 0.001000
    puzzle4x4-02.txt     2     4 0.000000
    puzzle4x4-05.txt     5     4 0.000000
    puzzle4x4-03.txt     3     4 0.000000
    puzzle4x4-07.txt     7     4 0.001000
        puzzle04.txt     4     3 0.000000     
    puzzle4x4-24.txt    24     4 0.008000
    puzzle4x4-19.txt    19     4 0.002000
    puzzle4x4-15.txt    15     4 0.001000
    puzzle4x4-16.txt    16     4 0.001000
    puzzle4x4-21.txt    21     4 0.009000
    puzzle4x4-17.txt    17     4 0.002000
    puzzle4x4-13.txt    13     4 0.000000
    puzzle4x4-26.txt    26     4 0.006000
    puzzle4x4-22.txt    22     4 0.002000
    puzzle4x4-25.txt    25     4 0.003000
    puzzle4x4-20.txt    20     4 0.000000
    puzzle4x4-18.txt    18     4 0.003000
    puzzle4x4-14.txt    14     4 0.000000
    puzzle4x4-28.txt    28     4 0.015000
    puzzle4x4-23.txt    23     4 0.008000
    puzzle4x4-27.txt    27     4 0.003000        
    puzzle4x4-32.txt    32     4 0.340000
    puzzle4x4-30.txt    30     4 0.001000
    puzzle4x4-44.txt    44     4 0.412000
    puzzle4x4-42.txt    42     4 0.494000
    puzzle4x4-31.txt    31     4 0.833000
    puzzle4x4-33.txt    33     4 0.002000
    puzzle4x4-34.txt    34     4 0.035000
    puzzle4x4-36.txt    36     4 1.622000
    puzzle4x4-37.txt    37     4 0.285000
    puzzle4x4-40.txt    40     4 1.672000
    puzzle4x4-35.txt    35     4 0.082000
    puzzle4x4-39.txt    39     4 0.845000
    puzzle4x4-43.txt    43     4 2.801000
    puzzle4x4-29.txt    29     4 0.015000
    puzzle4x4-41.txt    41     4 0.649000
    puzzle4x4-38.txt    38     4 2.505000    
        puzzle07.txt     7     3 0.000000
        puzzle08.txt     8     3 0.001000
        puzzle11.txt    11     3 0.002000
        puzzle09.txt     9     4 0.001000
        puzzle10.txt    10     9 0.001000
        puzzle05.txt     5     3 0.000000
        puzzle06.txt     6     4 0.001000  
        puzzle25.txt    25     3 0.034000
        puzzle12.txt    12     5 0.000000
        puzzle20.txt    20     3 0.004000
        puzzle23.txt    23     3 0.009000
        puzzle18.txt    18     3 0.002000
        puzzle22.txt    22     3 0.006000
        puzzle14.txt    14     7 0.001000
        puzzle24.txt    24     3 0.008000
        puzzle27.txt    27     3 0.011000
        puzzle13.txt    13     4 0.001000
        puzzle17.txt    17     3 0.000000
        puzzle16.txt    16    10 0.000000
        puzzle15.txt    15     8 0.000000
        puzzle21.txt    21     3 0.004000
        puzzle19.txt    19     3 0.001000
        puzzle26.txt    26     3 0.020000
        puzzle38.txt    38     4 1.733000
        puzzle39.txt    39     4 0.155000
        puzzle34.txt    34     4 0.186000
        puzzle32.txt    32     4 0.442000
        puzzle36.txt    36     4 2.186000
        puzzle37.txt    37     4 0.131000
        puzzle33.txt    33     4 0.541000
        puzzle35.txt    35     4 0.346000
        puzzle29.txt    29     3 0.011000
        puzzle31.txt    31     3 0.128000
        puzzle28.txt    28     3 0.019000
        puzzle30.txt    30     3 0.047000
        puzzle42.txt    42     4 2.451000
        puzzle40.txt    40     4 0.398000
        puzzle41.txt    41     5 0.023000
        puzzle43.txt    43     4 0.730000
        puzzle44.txt    44     5 0.809000
        puzzle45.txt    45     4 3.273000
        puzzle46.txt    46     4 2.633000

More than 5 sec  
    puzzle4x4-47.txt    47     4 8.505000
    puzzle4x4-45.txt    45     4 14.993000
    puzzle4x4-46.txt    46     4 8.045000        
    puzzle4x4-48.txt    48     4 17.997000    
    puzzle4x4-49.txt    N/A I run out of memory ... :( 
    puzzle4x4-50.txt    N/A I run out of memory ... :( 
    puzzle4x4-78.txt    N/A I run out of memory ... :( 
    puzzle4x4-80.txt    N/A I run out of memory ... :( 
    puzzle47.txt        47     4 12.504000
    puzzle48.txt        48     4 9.364000  
    puzzle49.txt        N/A I run out of memory ... :( 
    puzzle50.txt        N/A I run out of memory ... :(   
